"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\App.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 9, 75
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\authService.ts", "TypeScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\citaService.ts", "TypeScript", 84, 0, 0, 0, 0, 10, 94
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\configService.ts", "TypeScript", 25, 0, 0, 0, 0, 5, 30
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\especialidadService.ts", "TypeScript", 61, 0, 0, 0, 10, 7, 78
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\especialistaService.ts", "TypeScript", 93, 0, 0, 0, 0, 13, 106
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\pacienteService.ts", "TypeScript", 103, 0, 0, 0, 0, 13, 116
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\parameterService.ts", "TypeScript", 0, 0, 0, 0, 44, 8, 52
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\permisosService.ts", "TypeScript", 20, 0, 0, 0, 0, 3, 23
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\roleService.ts", "TypeScript", 60, 0, 0, 0, 0, 5, 65
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\tratamientoService.ts", "TypeScript", 41, 0, 0, 0, 0, 5, 46
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\api\userService.ts", "TypeScript", 50, 0, 0, 0, 0, 6, 56
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\CalendarioCitas.tsx", "TypeScript JSX", 0, 0, 288, 0, 37, 31, 356
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\Carousel.tsx", "TypeScript JSX", 0, 0, 132, 0, 0, 15, 147
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\EspecialidadCard.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 3, 33
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\InputFileUpload.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 1, 55
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\LoginModal.tsx", "TypeScript JSX", 0, 0, 179, 0, 3, 11, 193
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\ReservarCita\ReservaCita.tsx", "TypeScript JSX", 0, 0, 258, 0, 13, 27, 298
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\ReservarCita\ReservarCitaPaso1.tsx", "TypeScript JSX", 0, 0, 85, 0, 4, 6, 95
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\ReservarCita\ReservarCitaPaso2.tsx", "TypeScript JSX", 0, 0, 138, 0, 1, 17, 156
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\ReservarCita\ReservarCitaPaso3.tsx", "TypeScript JSX", 0, 0, 60, 0, 9, 7, 76
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\Skeletons\EspecialidadSkeleton.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 2, 18
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\UserForm.tsx", "TypeScript JSX", 0, 0, 129, 0, 0, 7, 136
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\admin\BuscarEspecialidad.tsx", "TypeScript JSX", 0, 0, 84, 0, 2, 5, 91
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\admin\BuscarPaciente.tsx", "TypeScript JSX", 0, 0, 131, 0, 0, 7, 138
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\admin\EspecialidadForm.tsx", "TypeScript JSX", 0, 0, 179, 0, 3, 8, 190
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\admin\EspecialistaForm.tsx", "TypeScript JSX", 0, 0, 516, 0, 7, 29, 552
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\admin\PacienteForm.tsx", "TypeScript JSX", 0, 0, 334, 0, 2, 17, 353
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\components\admin\RoleForm.tsx", "TypeScript JSX", 0, 0, 113, 0, 1, 4, 118
